Ntotal,S_obs,p,lado_km,SiteCode
1393,89,0.5174191232890275,12.06,MGuberl1
1393,89,0.5164891164551433,12.18,MGuberl1
1393,89,0.5158179654967281,12.3,MGuberl1
1393,89,0.51500618450839,12.42,MGuberl1
1393,89,0.5141079645612509,12.54,MGuberl1
1393,89,0.5132465578041823,12.66,MGuberl1
1393,89,0.5125305825563711,12.78,MGuberl1
1393,89,0.5121308815575987,12.9,MGuberl1
1393,89,0.5121100469324046,13.02,MGuberl1
1393,89,0.512166134984675,13.14,MGuberl1
1393,89,0.5122335742511415,13.26,MGuberl1
1393,89,0.5122916205835629,13.38,MGuberl1
1393,89,0.5125086419753087,13.5,MGuberl1
1393,89,0.5127937666168565,13.62,MGuberl1
1393,89,0.5129431170267539,13.74,MGuberl1
1393,89,0.5132072112591594,13.86,MGuberl1
1393,89,0.513248540219934,13.98,MGuberl1
1393,89,0.513091896785876,14.1,MGuberl1
1393,89,0.5128407128487243,14.22,MGuberl1
1393,89,0.5126048213441642,14.34,MGuberl1
1393,89,0.5123577417744185,14.46,MGuberl1
1393,89,0.5120196785720333,14.58,MGuberl1
1393,89,0.511557684298209,14.7,MGuberl1
1393,89,0.5110967234342474,14.82,MGuberl1
1393,89,0.510673214948146,14.94,MGuberl1
1393,89,0.5102895192139807,15.06,MGuberl1
1393,89,0.510092330765986,15.18,MGuberl1
1393,89,0.5099884659746251,15.3,MGuberl1
1393,89,0.5100190767460522,15.42,MGuberl1
1393,89,0.5100512812868025,15.54,MGuberl1
1393,89,0.5099859074294271,15.66,MGuberl1
1393,89,0.509881594355853,15.78,MGuberl1
1393,89,0.5096012815948736,15.9,MGuberl1
1393,89,0.5092545834560732,16.02,MGuberl1
1393,89,0.5089240060253452,16.14,MGuberl1
1393,89,0.5086906496371236,16.26,MGuberl1
1393,89,0.5085168189563793,16.38,MGuberl1
1393,89,0.5084198347107438,16.5,MGuberl1
1393,89,0.508249814281432,16.62,MGuberl1
1393,89,0.5079392608008633,16.74,MGuberl1
1393,89,0.5075132027203303,16.86,MGuberl1
1393,89,0.507229457228833,16.98,MGuberl1
1393,89,0.5069990766389658,17.1,MGuberl1
1393,89,0.506659058626425,17.22,MGuberl1
1393,89,0.5062978173154057,17.34,MGuberl1
1393,89,0.505954700582185,17.46,MGuberl1
1393,89,0.5056669268133583,17.58,MGuberl1
1393,89,0.5054208560758403,17.7,MGuberl1
1393,89,0.5052999127073201,17.82,MGuberl1
1393,89,0.5050670574154652,17.94,MGuberl1
1393,89,0.5048757739980795,18.06,MGuberl1
1393,89,0.5047299284383884,18.18,MGuberl1
1393,89,0.504571351787154,18.3,MGuberl1
1393,89,0.5043050854650978,18.42,MGuberl1
1393,89,0.5040479257653355,18.54,MGuberl1
1393,89,0.503807342769409,18.66,MGuberl1
1393,89,0.5034373118027131,18.78,MGuberl1
1393,89,0.5030839002267574,18.9,MGuberl1
1393,89,0.5025699330274955,19.02,MGuberl1
1393,89,0.5020980532817091,19.14,MGuberl1
1393,89,0.5016134354286158,19.26,MGuberl1
1393,89,0.5011334336569889,19.38,MGuberl1
1393,89,0.5007408284023669,19.5,MGuberl1
1393,89,0.5004185019966519,19.62,MGuberl1
1393,89,0.500011548304247,19.74,MGuberl1
1393,89,0.49968282509287065,19.86,MGuberl1
1393,89,0.4992695398100804,19.98,MGuberl1
1393,89,0.49871686344397415,20.1,MGuberl1
1393,89,0.49808046209793166,20.22,MGuberl1
1393,89,0.49751786009519583,20.34,MGuberl1
1393,89,0.49688685167826213,20.46,MGuberl1
1393,89,0.4963620600260096,20.58,MGuberl1
1393,89,0.49578659945389625,20.7,MGuberl1
1393,89,0.495149864212808,20.82,MGuberl1
1393,89,0.49457722021986683,20.94,MGuberl1
1393,89,0.49388194901015414,21.06,MGuberl1
1393,89,0.4930342110120457,21.18,MGuberl1
1393,89,0.49233683792898236,21.3,MGuberl1
1393,89,0.491673139844173,21.42,MGuberl1
1393,89,0.4909994491042124,21.54,MGuberl1
1393,89,0.4901052017710116,21.66,MGuberl1
1393,89,0.4890755792333553,21.78,MGuberl1
1393,89,0.4879958716457121,21.9,MGuberl1
1393,89,0.4868678956707675,22.02,MGuberl1
1393,89,0.48583478382209294,22.14,MGuberl1
1393,89,0.4848373667729819,22.26,MGuberl1
1666,165,1,0.3,MGlavr6
1666,165,1,0.42,MGlavr6
1666,165,1,0.54,MGlavr6
1666,165,1,0.66,MGlavr6
1666,165,1,0.78,MGlavr6
1666,165,1,0.9,MGlavr6
1666,165,1,1.02,MGlavr6
1666,165,1,1.14,MGlavr6
1666,165,1,1.26,MGlavr6
1666,165,1,1.38,MGlavr6
1666,165,1,1.5,MGlavr6
1666,165,1,1.62,MGlavr6
1666,165,1,1.74,MGlavr6
1666,165,1,1.86,MGlavr6
1666,165,1,1.98,MGlavr6
1666,165,1,2.1,MGlavr6
1666,165,1,2.22,MGlavr6
1666,165,1,2.34,MGlavr6
1666,165,1,2.46,MGlavr6
1666,165,1,2.58,MGlavr6
1666,165,1,2.7,MGlavr6
1666,165,1,2.82,MGlavr6
1666,165,1,2.94,MGlavr6
1666,165,1,3.06,MGlavr6
1666,165,1,3.18,MGlavr6
1666,165,1,3.3,MGlavr6
1666,165,1,3.42,MGlavr6
