taxaU,SiteCode,k,land_type,nCongKS,Smed,Ssd,Smin,Smax
contemp,ESsoor,0.34999999999999987,non_frag,100,267.69,13.414672353189784,231,298
contemp,ESsoor,0.3999999999999999,contemp,100,263.31,13.15770312460163,233,291
contemp,ESsoor,0.3999999999999999,ideal,99,263.89,12.114683469061648,226,296
contemp,ESsoor,0.3999999999999999,non_frag,99,263.54,16.284974793975092,232,311
contemp,ESsoor,0.45,contemp,100,264.28,12.029492377847324,234,294
contemp,ESsoor,0.45,ideal,97,260.96,13.629972913258545,225,296
contemp,ESsoor,0.45,non_frag,93,264.47,11.964978356466304,233,295
contemp,ESsoor,0.49999999999999994,contemp,97,268.98,12.627515250996192,240,299
contemp,ESsoor,0.49999999999999994,ideal,90,266.06,12.14460016350119,233,295
contemp,ESsoor,0.49999999999999994,non_frag,96,266.91,13.630843663907932,235,301
contemp,ESsoor,0.5499999999999999,contemp,95,263.62,10.650347364752898,235,286
contemp,ESsoor,0.5499999999999999,ideal,92,260.25,13.25612113232025,227,293
contemp,ESsoor,0.5499999999999999,non_frag,96,261.9,13.320827468458724,230,301
contemp,ESsoor,0.5999999999999999,contemp,91,263.43,13.554420800326483,223,291
contemp,ESsoor,0.5999999999999999,ideal,97,264.55,13.235531456246589,228,295
contemp,ESsoor,0.5999999999999999,non_frag,95,265.13,12.40695064237882,223,298
contemp,ESsoor,0.6499999999999999,contemp,94,262.72,13.552054523878725,235,298
contemp,ESsoor,0.6499999999999999,ideal,94,265.23,13.009596302714238,235,298
contemp,ESsoor,0.6499999999999999,non_frag,92,262.86,13.298454379697247,220,293
contemp,ESsoor,0.7,contemp,98,265.01,11.006421449831599,241,296
contemp,ESsoor,0.7,ideal,92,265.24,14.867848845509874,216,303
contemp,ESsoor,0.7,non_frag,95,265.1,13.925124448603356,234,301
contemp,ESsoor,0.75,contemp,96,265.53,11.692572968609715,234,292
contemp,ESsoor,0.75,ideal,91,266.46,14.193055635867433,237,307
contemp,ESsoor,0.75,non_frag,91,265.94,13.677984965895844,228,309
contemp,ESsoor,0.7999999999999999,contemp,93,268.48,13.357916731060252,238,301
contemp,ESsoor,0.7999999999999999,ideal,96,265.68,11.071740348447229,240,293
contemp,ESsoor,0.7999999999999999,non_frag,98,267.09,10.045447232503394,247,290
contemp,ESsoor,0.85,contemp,96,265.84,12.402117772885616,236,294
contemp,ESsoor,0.85,ideal,96,263.43,12.811969624400678,232,296
contemp,ESsoor,0.85,non_frag,94,265.37,12.233960845932032,231,302
contemp,ESsoor,0.8999999999999999,contemp,95,263.84,12.624107129143066,238,294
contemp,ESsoor,0.8999999999999999,ideal,92,264.88,12.766971275739426,231,291
contemp,ESsoor,0.8999999999999999,non_frag,98,265.63,11.272255203540123,236,288
contemp,ESsoor,0.95,contemp,97,266.28,13.20091824170737,236,298
contemp,ESsoor,0.95,ideal,95,267.94,12.258017372274765,241,301
contemp,ESsoor,0.95,non_frag,99,270.63,12.098630860013404,234,296
contemp,ESsoor,0.99,contemp,97,267.23,11.806396999127639,239,294
contemp,ESsoor,0.99,ideal,92,266.4,13.416407864998739,229,294
contemp,ESsoor,0.99,non_frag,94,266.23,12.372056327780673,223,297
contemp,MGipia1,0.05,contemp,59,50.06,6.746222287437255,32,69
contemp,MGipia1,0.05,ideal,0,117.07,9.415498720812199,89,138
contemp,MGipia1,0.05,non_frag,11,65.79,8.568553028960082,42,88
contemp,MGipia1,0.09999999999999988,contemp,78,49.61,6.27629016074131,35,65
contemp,MGipia1,0.09999999999999988,ideal,3,105.53,8.79445991818288,85,130
contemp,MGipia1,0.09999999999999988,non_frag,26,65.23,7.003397443925038,51,83
contemp,MGipia1,0.1499999999999999,contemp,88,48.36,5.876713160922318,35,65
contemp,MGipia1,0.1499999999999999,ideal,54,98.15,7.965043577527947,81,116
contemp,MGipia1,0.1499999999999999,non_frag,55,63.77,6.889979548722781,50,84
contemp,MGipia1,0.19999999999999996,contemp,98,49.24,7.108282265616411,29,65
contemp,MGipia1,0.19999999999999996,ideal,90,90.04,8.228946199578386,73,109
contemp,MGipia1,0.19999999999999996,non_frag,90,62.4,7.578544941764443,44,82
contemp,MGipia1,0.2499999999999999,contemp,98,50.39,6.232685106466043,36,69
contemp,MGipia1,0.2499999999999999,ideal,100,82.36,7.742732010724573,65,100
contemp,MGipia1,0.2499999999999999,non_frag,100,62.12,7.426787442573788,48,87
contemp,MGipia1,0.29999999999999993,contemp,100,50.37,6.549971084830926,35,65
contemp,MGipia1,0.29999999999999993,ideal,99,72.74,6.790694762212137,56,86
contemp,MGipia1,0.29999999999999993,non_frag,99,59.58,6.831566660020455,43,75
contemp,MGipia1,0.34999999999999987,contemp,100,49.73,6.482073181264828,33,65
contemp,MGipia1,0.34999999999999987,ideal,99,72.64,5.953557632613334,61,90
contemp,MGipia1,0.34999999999999987,non_frag,99,59.67,6.9224492074917405,43,74
contemp,MGipia1,0.3999999999999999,contemp,99,49.22,6.1390947906417646,33,72
contemp,MGipia1,0.3999999999999999,ideal,98,73.8,6.058636043456539,58,93
contemp,MGipia1,0.3999999999999999,non_frag,99,59.92,6.638851062822801,44,75
contemp,MGipia1,0.45,contemp,96,49.91,6.247577308222942,37,65
contemp,MGipia1,0.45,ideal,95,60.8,5.458752586258128,37,73
contemp,MGipia1,0.45,non_frag,97,59.34,7.095623918153977,43,85
contemp,MGipia1,0.49999999999999994,contemp,99,50.68,5.78203417422616,39,67
contemp,MGipia1,0.49999999999999994,ideal,99,61.4,6.180778284489762,45,78
contemp,MGipia1,0.49999999999999994,non_frag,97,57.32,5.627996396084795,42,70
contemp,MGipia1,0.5499999999999999,contemp,100,50.45,5.22692137598291,37,62
contemp,MGipia1,0.5499999999999999,ideal,96,60.66,5.512556832204347,44,77
contemp,MGipia1,0.5499999999999999,non_frag,96,56.55,6.421829878617075,40,72
contemp,MGipia1,0.5999999999999999,contemp,100,49.81,6.620590775921905,36,62
contemp,MGipia1,0.5999999999999999,ideal,98,61.97,5.946656814776456,44,82
contemp,MGipia1,0.5999999999999999,non_frag,97,56.48,6.069429940116271,42,70
contemp,MGipia1,0.6499999999999999,contemp,83,50.74,4.955600851357966,41,63
contemp,MGipia1,0.6499999999999999,ideal,86,51.1,5.43557306504609,39,64
contemp,MGipia1,0.6499999999999999,non_frag,93,51.73,6.091648530421122,35,65
contemp,MGipia1,0.7,contemp,89,49.32,4.561321800274189,37,60
contemp,MGipia1,0.7,ideal,88,49.93,5.696454683361921,36,67
contemp,MGipia1,0.7,non_frag,87,49.69,5.206241398067275,37,64
contemp,MGipia1,0.75,contemp,82,51,4.9787426914712904,40,65
contemp,MGipia1,0.75,ideal,93,49.86,5.35416386628862,36,61
contemp,MGipia1,0.75,non_frag,91,50.43,5.2421273343842945,35,63
contemp,MGipia1,0.7999999999999999,contemp,89,50.74,6.693310394745192,27,67
contemp,MGipia1,0.7999999999999999,ideal,87,49.27,5.911562031863123,37,67
contemp,MGipia1,0.7999999999999999,non_frag,91,49.88,5.457420117916005,38,66
contemp,MGipia1,0.85,contemp,92,49.35,6.132172156221265,36,70
contemp,MGipia1,0.85,ideal,78,49.76,5.48665967082289,38,68
contemp,MGipia1,0.85,non_frag,86,49.21,5.3433523317683385,33,60
contemp,MGipia1,0.8999999999999999,contemp,90,50.92,5.7869236083159805,35,65
contemp,MGipia1,0.8999999999999999,ideal,87,51.01,5.324794300574844,37,62
contemp,MGipia1,0.8999999999999999,non_frag,92,51.66,6.501312998700394,36,68
contemp,MGipia1,0.95,contemp,87,48.95,5.50734128966129,37,62
contemp,MGipia1,0.95,ideal,86,50.02,5.0452097492712245,35,61
contemp,MGipia1,0.95,non_frag,94,41.88,5.824504140684294,27,57
contemp,MGipia1,0.99,contemp,92,48.91,6.108604628313286,27,62
contemp,MGipia1,0.99,ideal,94,49.35,4.491012349035785,38,64
contemp,MGipia1,0.99,non_frag,94,44.54,5.9703306847149165,31,57
contemp,MGlavr2,0.05,contemp,6,175.27,11.64010396010363,146,207
contemp,MGlavr2,0.05,ideal,0,380.53,17.48965350708755,342,440
contemp,MGlavr2,0.05,non_frag,0,255.2,15.305640341476284,222,301
contemp,MGlavr2,0.09999999999999988,contemp,17,175.07,12.157431114883247,141,206
contemp,MGlavr2,0.09999999999999988,ideal,62,332.39,16.00308997940363,294,371
contemp,MGlavr2,0.09999999999999988,non_frag,7,243.2,14.174240399721281,214,279
contemp,MGlavr2,0.1499999999999999,contemp,62,173.99,12.494439167125913,142,199
contemp,MGlavr2,0.1499999999999999,ideal,100,272.62,14.496101879366387,241,308
contemp,MGlavr2,0.1499999999999999,non_frag,92,233.86,14.334404470195178,194,268
contemp,MGlavr2,0.19999999999999996,contemp,93,176.28,11.855254982794369,137,209
contemp,MGlavr2,0.19999999999999996,ideal,100,246.02,13.516155690375301,209,289
contemp,MGlavr2,0.19999999999999996,non_frag,100,220.92,13.465016400534633,184,246
contemp,MGlavr2,0.2499999999999999,contemp,91,176.75,11.150372553453453,151,202
contemp,MGlavr2,0.2499999999999999,ideal,100,244.39,12.330380481894418,219,273
contemp,MGlavr2,0.2499999999999999,non_frag,99,223.98,13.857120840196133,191,263
contemp,MGlavr2,0.29999999999999993,contemp,100,173.67,12.644362340185406,145,208
contemp,MGlavr2,0.29999999999999993,ideal,100,212.99,13.094447122904635,182,246
contemp,MGlavr2,0.29999999999999993,non_frag,100,204.25,12.003682095023336,179,246
contemp,MGlavr2,0.34999999999999987,contemp,100,175.09,12.996576860889567,136,209
contemp,MGlavr2,0.34999999999999987,ideal,99,211.35,12.870273477822428,177,246
contemp,MGlavr2,0.34999999999999987,non_frag,99,204.06,10.984672516876882,178,233
contemp,MGlavr2,0.3999999999999999,contemp,100,172.7,10.984378255348167,151,201
contemp,MGlavr2,0.3999999999999999,ideal,99,209.62,11.545063224100804,184,241
contemp,MGlavr2,0.3999999999999999,non_frag,100,206.27,12.789559346702617,170,238
contemp,MGlavr2,0.45,contemp,99,174.5,11.998737307304339,139,196
contemp,MGlavr2,0.45,ideal,99,212.34,12.836359344148995,184,247
contemp,MGlavr2,0.45,non_frag,99,207.25,11.846130510880254,182,234
contemp,MGlavr2,0.49999999999999994,contemp,93,173.28,11.672362246093993,147,207
contemp,MGlavr2,0.49999999999999994,ideal,87,177.26,9.673059537089639,155,200
contemp,MGlavr2,0.49999999999999994,non_frag,90,177.44,10.10182501763264,142,203
contemp,MGlavr2,0.5499999999999999,contemp,93,175.14,11.101933583521804,154,199
contemp,MGlavr2,0.5499999999999999,ideal,94,180.74,11.993786270019534,149,208
contemp,MGlavr2,0.5499999999999999,non_frag,90,181.23,11.088127238472945,157,218
contemp,MGlavr2,0.5999999999999999,contemp,90,175.99,11.622422599041348,153,203
contemp,MGlavr2,0.5999999999999999,ideal,91,179.06,11.347424395167407,158,213
contemp,MGlavr2,0.5999999999999999,non_frag,88,180.44,10.465257577413762,154,205
contemp,MGlavr2,0.6499999999999999,contemp,85,177.88,8.932157317436495,151,204
contemp,MGlavr2,0.6499999999999999,ideal,91,182.08,10.682450443355563,156,212
contemp,MGlavr2,0.6499999999999999,non_frag,86,182.72,10.791017588997834,150,214
contemp,MGlavr2,0.7,contemp,95,177.06,11.687703976505576,151,209
